Date,SiteName,LocationName,WeekDay,BRCYear,InCount,OutCount,TotalCount
19/05/2024,NewYork,ATM Outlets,Sunday,2024,4331.0,2965.0,7296.0
19/05/2024,NewYork,ShoppingMall,Sunday,2024,8997.0,9763.0,18760.0
20/05/2024,NewYork,ATM Outlets,Monday,2024,3745.0,2836.0,6581.0
20/05/2024,NewYork,ShoppingMall,Monday,2024,7203.0,7348.0,14551.0
21/05/2024,NewYork,ATM Outlets,Tuesday,2024,3685.0,2844.0,6529.0
21/05/2024,NewYork,ShoppingMall,Tuesday,2024,8170.0,8106.0,16276.0
22/05/2024,NewYork,ATM Outlets,Wednesday,2024,2938.0,2435.0,5373.0
22/05/2024,NewYork,ShoppingMall,Wednesday,2024,6081.0,6742.0,12823.0
23/05/2024,NewYork,ATM Outlets,Thursday,2024,3755.0,2961.0,6716.0
23/05/2024,NewYork,ShoppingMall,Thursday,2024,7556.0,8189.0,15745.0
24/05/2024,NewYork,ATM Outlets,Friday,2024,4719.0,3480.0,8199.0
24/05/2024,NewYork,ShoppingMall,Friday,2024,10000.0,9369.0,19369.0
25/05/2024,NewYork,ATM Outlets,Saturday,2024,6783.0,4626.0,11409.0
25/05/2024,NewYork,ShoppingMall,Saturday,2024,12864.0,12000.0,24864.0
26/05/2024,NewYork,ATM Outlets,Sunday,2024,4514.0,3564.0,8078.0
26/05/2024,NewYork,ShoppingMall,Sunday,2024,9661.0,9799.0,19460.0
01/06/2024,NewYork,ATM Outlets,Saturday,2024,7426.0,4759.0,12185.0
01/06/2024,NewYork,ShoppingMall,Saturday,2024,16082.0,16002.0,32084.0
02/06/2024,NewYork,ATM Outlets,Sunday,2024,4612.0,3373.0,7985.0
02/06/2024,NewYork,ShoppingMall,Sunday,2024,10443.0,10500.0,20943.0
27/05/2024,NewYork,ATM Outlets,Monday,2024,4766.0,3516.0,8282.0
27/05/2024,NewYork,ShoppingMall,Monday,2024,11308.0,10825.0,22133.0
28/05/2024,NewYork,ATM Outlets,Tuesday,2024,4519.0,3511.0,8030.0
28/05/2024,NewYork,ShoppingMall,Tuesday,2024,10700.0,10727.0,21427.0
29/05/2024,NewYork,ATM Outlets,Wednesday,2024,5251.0,3800.0,9051.0
29/05/2024,NewYork,ShoppingMall,Wednesday,2024,12509.0,12855.0,25364.0
30/05/2024,NewYork,ATM Outlets,Thursday,2024,4852.0,3819.0,8671.0
30/05/2024,NewYork,ShoppingMall,Thursday,2024,10974.0,10821.0,21795.0
31/05/2024,NewYork,ATM Outlets,Friday,2024,5203.0,3739.0,8942.0
31/05/2024,NewYork,ShoppingMall,Friday,2024,12505.0,12764.0,25269.0
03/06/2024,NewYork,ATM Outlets,Monday,2024,3825.0,2866.0,6691.0
03/06/2024,NewYork,ShoppingMall,Monday,2024,9444.0,9839.0,19283.0
04/06/2024,NewYork,ATM Outlets,Tuesday,2024,3702.0,3004.0,6706.0
04/06/2024,NewYork,ShoppingMall,Tuesday,2024,6216.0,6492.0,12708.0
05/06/2024,NewYork,ATM Outlets,Wednesday,2024,4668.0,3492.0,8160.0
05/06/2024,NewYork,ShoppingMall,Wednesday,2024,10170.0,10427.0,20597.0
06/06/2024,NewYork,ATM Outlets,Thursday,2024,4620.0,3791.0,8411.0
06/06/2024,NewYork,ShoppingMall,Thursday,2024,10538.0,11035.0,21573.0
07/06/2024,NewYork,ATM Outlets,Friday,2024,4649.0,3633.0,8282.0
07/06/2024,NewYork,ShoppingMall,Friday,2024,10373.0,10943.0,21316.0
08/06/2024,NewYork,ATM Outlets,Saturday,2024,6031.0,4487.0,10518.0
08/06/2024,NewYork,ShoppingMall,Saturday,2024,12999.0,13902.0,26901.0
09/06/2024,NewYork,ATM Outlets,Sunday,2024,3640.0,3113.0,6753.0
